Political Affiliation,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?
Democrat,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,70,Yes,5,Too Low,FALSE,Smart and Sad,Unacceptable
DK/REF,Unlikely,DK/REF,3,Strongly Agree,Strongly Agree,3,No,3,Too Low,FALSE,Smart and Sad,Acceptable
DK/REF,Unlikely,Not Real At All,0,DK/REF,Strongly Agree,20,No,,Too High,FALSE,Dumb and happy,Acceptable
Republican,Unlikely,Real but not Caused by People,,Strongly Disagree,Somewhat Agree,4,No,5,DK/REF,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Not Real At All,0,Somewhat Disagree,Neither Agree nor Disagree,2,No,10,Too Low,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Not Real At All,4,Somewhat Agree,Strongly Agree,40,Yes,15,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Strongly Agree,100,No,,DK/REF,TRUE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,5,No,,About Right,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,30,Yes,10,Too Low,FALSE,Dumb and happy,Acceptable
Republican,Unlikely,Real but not Caused by People,2,Somewhat Agree,Strongly Agree,50,No,15,About Right,FALSE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Real and Caused by People,5,Somewhat Agree,Strongly Agree,200,No,,DK/REF,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,2,No,40,About Right,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Real and Caused by People,0,Somewhat Disagree,Strongly Agree,0,No,10,Too Low,FALSE,Dumb and happy,Acceptable
Independent,DK/REF,Real and Caused by People,4,Somewhat Disagree,Strongly Disagree,0,No,5,DK/REF,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,1,No,5,About Right,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,6,No,2,Too Low,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,40,No,25,Too Low,TRUE,Dumb and happy,Acceptable
Republican,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,0,Yes,,Too Low,TRUE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,0,No,5,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Strongly Agree,5,No,2,About Right,FALSE,Dumb and happy,Acceptable
DK/REF,Unlikely,Real and Caused by People,,Strongly Agree,Strongly Agree,100,Yes,1,Too Low,TRUE,DK/REF,Acceptable
Independent,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,6,No,0,Too High,TRUE,Dumb and happy,Acceptable
DK/REF,Unlikely,Not Real At All,1,DK/REF,DK/REF,5,No,,DK/REF,FALSE,DK/REF,Acceptable
Democrat,Unlikely,Real and Caused by People,3,Strongly Disagree,Strongly Disagree,16,Yes,16,Too High,TRUE,Dumb and happy,Acceptable
Independent,Likely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,15,Yes,5,Too Low,FALSE,Dumb and happy,Unacceptable
Republican,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,3,Yes,10,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,DK/REF,0,Strongly Agree,Strongly Agree,0,Yes,1,DK/REF,DK/REF,Smart and Sad,Acceptable
Independent,Likely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,3,No,,About Right,TRUE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real and Caused by People,1,DK/REF,Somewhat Agree,1,Yes,20,Too Low,DK/REF,Smart and Sad,Acceptable
Republican,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Strongly Agree,20,No,25,About Right,FALSE,Dumb and happy,Unacceptable
Republican,Unlikely,Real but not Caused by People,3,Somewhat Agree,Strongly Agree,20,Yes,10,About Right,TRUE,Dumb and happy,Acceptable
Democrat,Likely,Real but not Caused by People,2,Somewhat Disagree,Strongly Agree,100,No,10,About Right,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,2,Yes,10,About Right,FALSE,Dumb and happy,Acceptable
Independent,DK/REF,Real and Caused by People,2,Somewhat Agree,Strongly Agree,10,No,,DK/REF,DK/REF,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,1,Somewhat Disagree,Somewhat Agree,8,Yes,10,Too Low,TRUE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,,Strongly Disagree,Strongly Agree,4,No,10,About Right,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Not Real At All,2,Somewhat Disagree,Strongly Agree,12,No,3,About Right,TRUE,Smart and Sad,Unacceptable
Republican,Likely,Real but not Caused by People,1,Somewhat Agree,Strongly Disagree,20,No,30,Too High,FALSE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Not Real At All,0,DK/REF,Somewhat Agree,12,Yes,,Too High,DK/REF,DK/REF,Acceptable
Independent,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,25,No,6,Too Low,TRUE,Dumb and happy,Unacceptable
Democrat,Likely,Real and Caused by People,1,Strongly Agree,Strongly Agree,20,Yes,,Too Low,FALSE,Smart and Sad,Acceptable
Republican,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,0,No,,DK/REF,DK/REF,Dumb and happy,Unacceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,30,Yes,,DK/REF,DK/REF,DK/REF,DK/REF
DK/REF,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,1,No,,DK/REF,FALSE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,12,No,1,Too Low,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Disagree,12,Yes,1,DK/REF,TRUE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Not Real At All,,Somewhat Agree,Strongly Agree,5,No,,DK/REF,TRUE,Dumb and happy,DK/REF
Republican,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,12,No,20,About Right,FALSE,Dumb and happy,Unacceptable
DK/REF,DK/REF,Real and Caused by People,3,Strongly Agree,Somewhat Agree,6,No,1,Too Low,DK/REF,Dumb and happy,Unacceptable
Democrat,Unlikely,DK/REF,,Somewhat Agree,DK/REF,2,DK/REF,,DK/REF,FALSE,Dumb and happy,Unacceptable
Republican,Unlikely,Real and Caused by People,0,Somewhat Disagree,Strongly Agree,1,No,5,Too High,FALSE,DK/REF,Acceptable
DK/REF,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,Yes,,DK/REF,FALSE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,,Strongly Agree,Somewhat Agree,2,No,,Too Low,TRUE,Dumb and happy,Unacceptable
DK/REF,Likely,Real but not Caused by People,2,DK/REF,Strongly Agree,20,No,,DK/REF,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real but not Caused by People,2,DK/REF,Strongly Agree,3,No,,Too High,DK/REF,Smart and Sad,Acceptable
DK/REF,Likely,Real but not Caused by People,3,Somewhat Agree,Somewhat Disagree,4,Yes,,About Right,FALSE,Dumb and happy,Unacceptable
Republican,Unlikely,Real and Caused by People,3,Somewhat Disagree,Somewhat Disagree,6,Yes,30,About Right,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real but not Caused by People,4,Somewhat Agree,Strongly Agree,30,Yes,25,Too High,TRUE,Smart and Sad,Acceptable
Republican,Likely,Not Real At All,0,Strongly Disagree,Somewhat Disagree,20,DK/REF,17,About Right,FALSE,Dumb and happy,Acceptable
Republican,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Agree,4,No,5,DK/REF,TRUE,DK/REF,DK/REF
Republican,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,0,No,5,About Right,FALSE,Smart and Sad,Acceptable
DK/REF,Unlikely,DK/REF,1,Somewhat Agree,Strongly Agree,8,No,,Too Low,FALSE,Dumb and happy,DK/REF
Independent,Likely,Not Real At All,4,Somewhat Agree,Strongly Agree,4,No,15,About Right,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Strongly Agree,5,No,100,Too High,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,16,No,5,DK/REF,TRUE,Smart and Sad,DK/REF
Democrat,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,40,Yes,0.5,Too Low,FALSE,Smart and Sad,Unacceptable
Democrat,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,12,Yes,45,Too Low,FALSE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,15,No,2,Too Low,FALSE,Smart and Sad,Unacceptable
Democrat,DK/REF,Real and Caused by People,0,DK/REF,DK/REF,10,No,,Too High,DK/REF,Dumb and happy,Unacceptable
Independent,Unlikely,Real but not Caused by People,5,Strongly Agree,Strongly Agree,25,Yes,,DK/REF,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,No,12,About Right,FALSE,Smart and Sad,DK/REF
Democrat,Unlikely,Real and Caused by People,5,Strongly Agree,Strongly Agree,2,No,30,Too Low,TRUE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Real and Caused by People,3,DK/REF,Somewhat Agree,,No,,About Right,FALSE,DK/REF,DK/REF
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,30,Yes,20,About Right,TRUE,Dumb and happy,DK/REF
Republican,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,No,1,Too Low,TRUE,Dumb and happy,DK/REF
Republican,Unlikely,Real and Caused by People,0,Somewhat Disagree,Somewhat Disagree,5,Yes,20,DK/REF,FALSE,DK/REF,DK/REF
Republican,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,100,No,60,About Right,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Real but not Caused by People,1,Somewhat Disagree,Strongly Agree,6,No,,About Right,TRUE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,20,Yes,5,Too Low,FALSE,Smart and Sad,Acceptable
Republican,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,3,No,2,About Right,FALSE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,50,No,15,Too Low,FALSE,Smart and Sad,Acceptable
DK/REF,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,2,No,,DK/REF,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,6,No,10,Too Low,FALSE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,22,No,,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,No,,Too High,FALSE,Dumb and happy,Acceptable
Democrat,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Disagree,0,No,5,Too Low,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Disagree,Strongly Disagree,50,Yes,20,About Right,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Disagree,Somewhat Agree,40,No,40,About Right,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,12,No,3,Too Low,TRUE,Smart and Sad,Acceptable
Republican,Likely,Not Real At All,,Strongly Agree,Somewhat Agree,4,DK/REF,,Too High,TRUE,Dumb and happy,Unacceptable
DK/REF,DK/REF,Real and Caused by People,4,Strongly Disagree,Somewhat Disagree,2,No,10,Too High,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real but not Caused by People,2,Strongly Agree,Strongly Agree,2,No,10,Too Low,FALSE,Dumb and happy,Unacceptable
Republican,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,60,No,30,Too High,TRUE,Smart and Sad,Acceptable
Democrat,Likely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,12,No,50,Too Low,TRUE,Dumb and happy,Acceptable
DK/REF,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,12,No,60,About Right,FALSE,Smart and Sad,Acceptable
Democrat,Likely,Real and Caused by People,2,Somewhat Disagree,Somewhat Agree,1,Yes,40,Too High,TRUE,DK/REF,Acceptable
Democrat,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,20,No,20,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,5,Neither Agree nor Disagree,Strongly Agree,3,No,10,DK/REF,FALSE,Dumb and happy,Acceptable
DK/REF,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,17,Yes,10,Too Low,FALSE,Smart and Sad,Acceptable
Independent,Likely,Real and Caused by People,3,Strongly Agree,Somewhat Agree,13,No,14,Too Low,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,DK/REF,0,Strongly Agree,Strongly Agree,200,Yes,20,Too Low,DK/REF,DK/REF,Acceptable
Independent,Likely,Real and Caused by People,1,Strongly Disagree,Strongly Disagree,5,Yes,30,About Right,FALSE,Dumb and happy,Acceptable
DK/REF,Unlikely,Real and Caused by People,5,Somewhat Agree,Strongly Disagree,7,Yes,80,About Right,DK/REF,Dumb and happy,Acceptable
Republican,Likely,DK/REF,0,Somewhat Disagree,Strongly Agree,0,No,10,About Right,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,5,Strongly Disagree,Strongly Disagree,50,Yes,5,About Right,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Not Real At All,0,Strongly Agree,Strongly Agree,12,No,10,About Right,FALSE,DK/REF,Acceptable
DK/REF,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,6,Yes,1,Too Low,FALSE,Smart and Sad,Acceptable
DK/REF,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Disagree,2,Yes,2,Too Low,TRUE,Smart and Sad,Acceptable
Republican,Unlikely,DK/REF,1,Strongly Agree,Strongly Agree,10,No,0,About Right,FALSE,Smart and Sad,Acceptable
Democrat,Likely,Real and Caused by People,2,Strongly Agree,Strongly Agree,100,Yes,2,Too Low,FALSE,Smart and Sad,Acceptable
Democrat,Likely,Real and Caused by People,3,Strongly Agree,Strongly Agree,5,No,,Too High,TRUE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,4,Yes,3,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,No,,DK/REF,TRUE,DK/REF,DK/REF
Democrat,Unlikely,Real and Caused by People,1,Somewhat Disagree,Strongly Agree,1,No,4,Too Low,TRUE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,1,No,30,About Right,TRUE,Smart and Sad,Acceptable
DK/REF,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,3,No,,DK/REF,TRUE,Smart and Sad,DK/REF
Republican,Unlikely,Real but not Caused by People,0,Strongly Disagree,Strongly Agree,80,No,,About Right,FALSE,Dumb and happy,DK/REF
DK/REF,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,0.7,Too Low,FALSE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,1,Somewhat Disagree,Somewhat Disagree,100,Yes,40,DK/REF,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,5,No,10,Too Low,FALSE,Dumb and happy,DK/REF
Independent,Likely,Not Real At All,0,DK/REF,Strongly Agree,3,No,,About Right,TRUE,Dumb and happy,Acceptable
DK/REF,Unlikely,Real and Caused by People,5,Somewhat Disagree,Strongly Disagree,2,No,10,Too High,TRUE,DK/REF,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,25,No,10,Too Low,TRUE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real but not Caused by People,,Strongly Agree,Strongly Disagree,20,No,2,Too Low,TRUE,DK/REF,Unacceptable
Republican,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,0,No,30,About Right,TRUE,Smart and Sad,Unacceptable
Democrat,Likely,Real and Caused by People,3,Strongly Agree,Strongly Agree,15,No,,Too Low,DK/REF,DK/REF,DK/REF
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,1,No,10,Too Low,FALSE,Smart and Sad,Acceptable
Independent,Likely,Real and Caused by People,1,Somewhat Disagree,Strongly Agree,1,Yes,40,About Right,TRUE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real and Caused by People,4,DK/REF,Neither Agree nor Disagree,4,No,80,About Right,FALSE,DK/REF,DK/REF
Independent,Likely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,12,Yes,5,Too Low,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,10,No,,Too Low,FALSE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,6,Yes,10,About Right,FALSE,Dumb and happy,Acceptable
DK/REF,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,0,Yes,,DK/REF,DK/REF,DK/REF,Acceptable
Independent,Unlikely,DK/REF,0,Strongly Agree,Strongly Agree,2,Yes,15,Too Low,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,2,No,75,Too High,TRUE,DK/REF,Unacceptable
Independent,Unlikely,Real but not Caused by People,4,Somewhat Agree,Somewhat Agree,6,No,50,About Right,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,6,No,30,Too Low,TRUE,Smart and Sad,DK/REF
Independent,Likely,Real and Caused by People,1,Somewhat Disagree,Somewhat Disagree,56,Yes,,DK/REF,DK/REF,Smart and Sad,DK/REF
Independent,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Agree,10,No,5,About Right,TRUE,Smart and Sad,Unacceptable
Democrat,Likely,Not Real At All,,DK/REF,DK/REF,2,No,,Too Low,TRUE,DK/REF,DK/REF
Independent,Unlikely,Real and Caused by People,1,Strongly Disagree,Strongly Agree,15,No,45,About Right,TRUE,Smart and Sad,Acceptable
Democrat,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,Yes,,Too Low,TRUE,Dumb and happy,Acceptable
Independent,Likely,Not Real At All,0,Somewhat Agree,Strongly Agree,5,No,1,About Right,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real but not Caused by People,2,Strongly Agree,Strongly Disagree,4,Yes,12,Too Low,FALSE,Smart and Sad,Acceptable
Republican,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,5,No,10,Too High,FALSE,Dumb and happy,Acceptable
DK/REF,Unlikely,Real and Caused by People,0,Neither Agree nor Disagree,Neither Agree nor Disagree,10,DK/REF,,DK/REF,TRUE,DK/REF,DK/REF
Independent,Unlikely,Not Real At All,3,Strongly Agree,Strongly Agree,2,No,100,About Right,TRUE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,0,Yes,,DK/REF,FALSE,Dumb and happy,Acceptable
Independent,Likely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,5,Yes,10,Too Low,FALSE,Smart and Sad,Acceptable
DK/REF,Likely,DK/REF,3,DK/REF,DK/REF,,Yes,,Too Low,FALSE,DK/REF,DK/REF
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Neither Agree nor Disagree,62,Yes,7,Too Low,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Agree,0,No,40,Too High,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Disagree,3,Yes,1,About Right,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,1,Strongly Disagree,Strongly Agree,25,No,15,Too Low,TRUE,Dumb and happy,Acceptable
DK/REF,Likely,Real and Caused by People,4,Strongly Agree,Strongly Disagree,59,No,12,Too Low,FALSE,Smart and Sad,Unacceptable
Republican,Unlikely,Real and Caused by People,0,Somewhat Disagree,Somewhat Disagree,2,No,,DK/REF,DK/REF,Smart and Sad,Unacceptable
Independent,Likely,Real but not Caused by People,2,Somewhat Agree,Somewhat Agree,2,Yes,70,Too High,TRUE,Dumb and happy,DK/REF
Independent,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,2,No,10,Too Low,TRUE,Dumb and happy,Acceptable
Democrat,Likely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,1000,No,25,Too Low,FALSE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,7,No,40,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Likely,Real and Caused by People,,Somewhat Agree,Strongly Agree,5,No,,DK/REF,FALSE,Smart and Sad,Unacceptable
Democrat,Likely,Real and Caused by People,2,Strongly Disagree,Strongly Agree,4,No,50,Too High,FALSE,Dumb and happy,Unacceptable
Democrat,Likely,Real and Caused by People,2,Somewhat Disagree,Strongly Agree,1,Yes,20,About Right,TRUE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,4,Strongly Agree,Strongly Agree,0,Yes,45,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,1,No,,About Right,DK/REF,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,300,Yes,5,Too Low,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Strongly Agree,3,No,,DK/REF,TRUE,DK/REF,Unacceptable
Democrat,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,4,No,1,Too Low,FALSE,Dumb and happy,Acceptable
DK/REF,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,12,No,1,Too Low,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real but not Caused by People,3,Somewhat Disagree,Strongly Agree,15,Yes,7,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,30,No,,DK/REF,FALSE,Dumb and happy,Acceptable
DK/REF,Unlikely,Not Real At All,,Somewhat Agree,Somewhat Disagree,,Yes,,DK/REF,FALSE,Dumb and happy,Unacceptable
Democrat,DK/REF,Real and Caused by People,0,Somewhat Agree,Strongly Agree,5,Yes,20,About Right,FALSE,Dumb and happy,Acceptable
Democrat,Likely,Real and Caused by People,0,Neither Agree nor Disagree,Neither Agree nor Disagree,3,No,,Too High,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,3,No,5,Too Low,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,0,Yes,50,Too Low,FALSE,Smart and Sad,Acceptable
DK/REF,Likely,DK/REF,0,DK/REF,Somewhat Disagree,,No,100,Too Low,DK/REF,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,4,No,5,About Right,FALSE,Dumb and happy,Acceptable
Republican,Unlikely,DK/REF,3,DK/REF,Somewhat Agree,0,No,,About Right,FALSE,DK/REF,Unacceptable
Republican,Unlikely,Real and Caused by People,0,Somewhat Disagree,Somewhat Agree,4,Yes,,DK/REF,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,5,Yes,4,About Right,FALSE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,7,No,25,Too Low,FALSE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Agree,4,Yes,40,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,40,No,2,Too Low,FALSE,DK/REF,Unacceptable
Democrat,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,,DK/REF,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Not Real At All,,DK/REF,DK/REF,,No,,Too Low,TRUE,Dumb and happy,Acceptable
Independent,Likely,Real and Caused by People,0,Strongly Disagree,Strongly Agree,0,No,25,About Right,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real but not Caused by People,0,DK/REF,Strongly Agree,0,Yes,0,DK/REF,TRUE,DK/REF,Unacceptable
Democrat,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Disagree,0,No,,About Right,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,3,Yes,10,Too Low,TRUE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,No,5,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real but not Caused by People,3,Strongly Agree,Somewhat Agree,1,Yes,60,Too Low,TRUE,Dumb and happy,Acceptable
Republican,Unlikely,Real but not Caused by People,0,DK/REF,Strongly Agree,0,Yes,50,About Right,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,3,Somewhat Agree,Strongly Agree,15,No,,Too Low,FALSE,Dumb and happy,Acceptable
DK/REF,Likely,Real but not Caused by People,0,Neither Agree nor Disagree,Strongly Agree,4,No,3,Too Low,FALSE,Smart and Sad,Unacceptable
Republican,Likely,Real and Caused by People,,Somewhat Agree,Somewhat Agree,10,Yes,35,Too Low,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Disagree,9.5,No,5,Too Low,FALSE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,1,Somewhat Disagree,Strongly Agree,20,No,2,Too Low,TRUE,Smart and Sad,Acceptable
Republican,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,10,No,,Too High,TRUE,Dumb and happy,Unacceptable
